2023-12-05 19:56:41.081 DEBUG:   (start of logging session)
2023-12-05 20:21:33.220 INFO:    Well E1: density = 325.9 cells/μL, valid_area = 97%
2023-12-05 20:21:33.224 INFO:    Well F1: density = 383.9 cells/μL, valid_area = 98%
2023-12-05 20:21:33.229 INFO:    Well G1: density = 113.2 cells/μL, valid_area = 98%
2023-12-05 20:21:33.233 INFO:    Well H1: density = 129.2 cells/μL, valid_area = 98%
2023-12-05 20:21:33.289 INFO:    Plate 'stock_plate' well A1: target = 12.5k cells, aliquot = 50.0 μL
2023-12-05 20:21:33.298 INFO:    Plate 'stock_plate' well B1: target = 12.5k cells, aliquot = 60.8 μL
2023-12-05 20:21:33.304 INFO:    Plate 'stock_plate' well C1: target = 12.5k cells, aliquot = 31.1 μL
2023-12-05 20:21:33.309 INFO:    Plate 'stock_plate' well D1: target = 12.5k cells, aliquot = 65.3 μL
2023-12-05 20:21:33.314 INFO:    Plate 'stock_plate' well E1: target = 12.5k cells, aliquot = 38.4 μL
2023-12-05 20:21:33.319 INFO:    Plate 'stock_plate' well F1: target = 12.5k cells, aliquot = 32.6 μL
2023-12-05 20:21:33.324 INFO:    Plate 'stock_plate' well G1: target = 12.5k cells, aliquot = 110.5 μL
2023-12-05 20:21:33.331 INFO:    Plate 'stock_plate' well H1: target = 12.5k cells, aliquot = 96.7 μL
2023-12-05 20:21:47.530 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 20:22:22.603 INFO:    Aliquoting 150.0 μL of 'media' and 50.0 μL from source well A1 to well A1 on plate 'stock_plate'.
2023-12-05 20:22:39.290 INFO:    Mixing at source plate location 'A1', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:23:11.237 INFO:    Aliquoting 139.2 μL of 'media' and 60.8 μL from source well B1 to well B1 on plate 'stock_plate'.
2023-12-05 20:23:25.151 INFO:    Mixing at source plate location 'B1', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:23:57.479 INFO:    Aliquoting 168.9 μL of 'media' and 31.1 μL from source well C1 to well C1 on plate 'stock_plate'.
2023-12-05 20:24:12.087 INFO:    Mixing at source plate location 'C1', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:24:43.692 INFO:    Aliquoting 134.7 μL of 'media' and 65.3 μL from source well D1 to well D1 on plate 'stock_plate'.
2023-12-05 20:24:57.590 INFO:    Mixing at source plate location 'D1', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:25:29.953 INFO:    Aliquoting 161.6 μL of 'media' and 38.4 μL from source well E1 to well E1 on plate 'stock_plate'.
2023-12-05 20:25:44.493 INFO:    Mixing at source plate location 'E1', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:26:16.274 INFO:    Aliquoting 167.4 μL of 'media' and 32.6 μL from source well F1 to well F1 on plate 'stock_plate'.
2023-12-05 20:26:30.971 INFO:    Mixing at source plate location 'F1', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:27:02.692 INFO:    Aliquoting 89.5 μL of 'media' and 110.5 μL from source well G1 to well G1 on plate 'stock_plate'.
2023-12-05 20:27:15.692 INFO:    Mixing at source plate location 'G1', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:27:49.055 INFO:    Aliquoting 103.3 μL of 'media' and 96.7 μL from source well H1 to well H1 on plate 'stock_plate'.
2023-12-05 20:28:02.429 INFO:    Mixing at source plate location 'H1', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:28:44.003 INFO:    Mixing at source plate location 'A2', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 20:28:45.176 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 20:29:09.276 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 20:29:10.077 INFO:    Loading CCI from source column 2.
2023-12-05 20:30:18.078 INFO:    Running CCI counting scan for source plate column 2...
2023-12-05 20:31:40.295 INFO:    CCI counting scan complete.
2023-12-05 20:31:40.299 INFO:    Well A2: density = 314.4 cells/μL, valid_area = 95%
2023-12-05 20:31:40.302 INFO:    Well B2: density = 396.6 cells/μL, valid_area = 97%
2023-12-05 20:31:40.306 INFO:    Well C2: density = 138.2 cells/μL, valid_area = 97%
2023-12-05 20:31:40.309 INFO:    Well D2: density = 259.2 cells/μL, valid_area = 98%
2023-12-05 20:31:40.319 INFO:    Well E2: density = 345.5 cells/μL, valid_area = 97%
2023-12-05 20:31:40.324 INFO:    Well F2: density = 240.8 cells/μL, valid_area = 98%
2023-12-05 20:31:40.327 INFO:    Well G2: density = 313.5 cells/μL, valid_area = 98%
2023-12-05 20:31:40.330 INFO:    Well H2: density = 416.3 cells/μL, valid_area = 98%
2023-12-05 20:31:40.381 INFO:    Plate 'stock_plate' well A2: target = 12.5k cells, aliquot = 39.8 μL
2023-12-05 20:31:40.384 INFO:    Plate 'stock_plate' well B2: target = 12.5k cells, aliquot = 31.5 μL
2023-12-05 20:31:40.388 INFO:    Plate 'stock_plate' well C2: target = 12.5k cells, aliquot = 90.5 μL
2023-12-05 20:31:40.391 INFO:    Plate 'stock_plate' well D2: target = 12.5k cells, aliquot = 48.2 μL
2023-12-05 20:31:40.395 INFO:    Plate 'stock_plate' well E2: target = 12.5k cells, aliquot = 36.2 μL
2023-12-05 20:31:40.398 INFO:    Plate 'stock_plate' well F2: target = 12.5k cells, aliquot = 51.9 μL
2023-12-05 20:31:40.402 INFO:    Plate 'stock_plate' well G2: target = 12.5k cells, aliquot = 39.9 μL
2023-12-05 20:31:40.405 INFO:    Plate 'stock_plate' well H2: target = 12.5k cells, aliquot = 30.0 μL
2023-12-05 20:31:54.600 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 20:32:29.672 INFO:    Aliquoting 160.2 μL of 'media' and 39.8 μL from source well A2 to well A2 on plate 'stock_plate'.
2023-12-05 20:32:46.441 INFO:    Mixing at source plate location 'A2', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:33:18.290 INFO:    Aliquoting 168.5 μL of 'media' and 31.5 μL from source well B2 to well B2 on plate 'stock_plate'.
2023-12-05 20:33:32.908 INFO:    Mixing at source plate location 'B2', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:34:04.541 INFO:    Aliquoting 109.5 μL of 'media' and 90.5 μL from source well C2 to well C2 on plate 'stock_plate'.
2023-12-05 20:34:17.946 INFO:    Mixing at source plate location 'C2', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:34:50.947 INFO:    Aliquoting 151.8 μL of 'media' and 48.2 μL from source well D2 to well D2 on plate 'stock_plate'.
2023-12-05 20:35:05.259 INFO:    Mixing at source plate location 'D2', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:35:37.355 INFO:    Starting to quench set 2 (plate cols 9,10,11,12)...
2023-12-05 20:35:52.316 DEBUG:   Dispensed 200.0 μL media to quench column 9
2023-12-05 20:36:00.207 DEBUG:   Dispensed 200.0 μL media to quench column 10
2023-12-05 20:36:08.104 DEBUG:   Dispensed 200.0 μL media to quench column 11
2023-12-05 20:36:15.939 DEBUG:   Dispensed 200.0 μL media to quench column 12
2023-12-05 20:36:29.120 INFO:    Quenching set 2 complete.
2023-12-05 20:36:29.125 INFO:    Deactivating tempdeck.
2023-12-05 20:36:29.163 INFO:    Aliquoting 163.8 μL of 'media' and 36.2 μL from source well E2 to well E2 on plate 'stock_plate'.
2023-12-05 20:36:46.042 INFO:    Mixing at source plate location 'E2', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:37:17.933 INFO:    Aliquoting 148.1 μL of 'media' and 51.9 μL from source well F2 to well F2 on plate 'stock_plate'.
2023-12-05 20:37:32.222 INFO:    Mixing at source plate location 'F2', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:38:04.464 INFO:    Aliquoting 160.1 μL of 'media' and 39.9 μL from source well G2 to well G2 on plate 'stock_plate'.
2023-12-05 20:38:19.030 INFO:    Mixing at source plate location 'G2', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:38:51.046 INFO:    Aliquoting 170.0 μL of 'media' and 30.0 μL from source well H2 to well H2 on plate 'stock_plate'.
2023-12-05 20:39:05.879 INFO:    Mixing at source plate location 'H2', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:39:46.101 INFO:    Mixing at source plate location 'A3', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 20:39:47.554 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 20:40:11.831 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 20:40:12.658 INFO:    Loading CCI from source column 3.
2023-12-05 20:41:20.687 INFO:    Running CCI counting scan for source plate column 3...
2023-12-05 20:42:41.314 INFO:    CCI counting scan complete.
2023-12-05 20:42:41.321 INFO:    Well A3: density = 201.0 cells/μL, valid_area = 94%
2023-12-05 20:42:41.324 INFO:    Well B3: density = 329.4 cells/μL, valid_area = 97%
2023-12-05 20:42:41.328 INFO:    Well C3: density = 198.3 cells/μL, valid_area = 97%
2023-12-05 20:42:41.331 INFO:    Well D3: density = 337.4 cells/μL, valid_area = 98%
2023-12-05 20:42:41.334 INFO:    Well E3: density = 171.5 cells/μL, valid_area = 97%
2023-12-05 20:42:41.338 INFO:    Well F3: density = 404.7 cells/μL, valid_area = 98%
2023-12-05 20:42:41.341 INFO:    Well G3: density = 349.9 cells/μL, valid_area = 98%
2023-12-05 20:42:41.344 INFO:    Well H3: density = 181.4 cells/μL, valid_area = 98%
2023-12-05 20:42:41.400 INFO:    Plate 'stock_plate' well A3: target = 12.5k cells, aliquot = 62.2 μL
2023-12-05 20:42:41.407 INFO:    Plate 'stock_plate' well B3: target = 12.5k cells, aliquot = 37.9 μL
2023-12-05 20:42:41.416 INFO:    Plate 'stock_plate' well C3: target = 12.5k cells, aliquot = 63.0 μL
2023-12-05 20:42:41.420 INFO:    Plate 'stock_plate' well D3: target = 12.5k cells, aliquot = 37.1 μL
2023-12-05 20:42:41.424 INFO:    Plate 'stock_plate' well E3: target = 12.5k cells, aliquot = 72.9 μL
2023-12-05 20:42:41.431 INFO:    Plate 'stock_plate' well F3: target is zero, will skip transfer
2023-12-05 20:42:41.434 INFO:    Plate 'stock_plate' well G3: target = 12.5k cells, aliquot = 35.7 μL
2023-12-05 20:42:41.438 INFO:    Plate 'stock_plate' well H3: target = 12.5k cells, aliquot = 68.9 μL
2023-12-05 20:42:55.649 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 20:43:30.986 INFO:    Aliquoting 137.8 μL of 'media' and 62.2 μL from source well A3 to well A3 on plate 'stock_plate'.
2023-12-05 20:43:47.218 INFO:    Mixing at source plate location 'A3', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:44:19.483 INFO:    Aliquoting 162.1 μL of 'media' and 37.9 μL from source well B3 to well B3 on plate 'stock_plate'.
2023-12-05 20:44:33.820 INFO:    Mixing at source plate location 'B3', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:45:05.573 INFO:    Aliquoting 137.0 μL of 'media' and 63.0 μL from source well C3 to well C3 on plate 'stock_plate'.
2023-12-05 20:45:19.364 INFO:    Mixing at source plate location 'C3', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:45:51.813 INFO:    Aliquoting 162.9 μL of 'media' and 37.1 μL from source well D3 to well D3 on plate 'stock_plate'.
2023-12-05 20:46:06.231 INFO:    Mixing at source plate location 'D3', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:46:38.050 INFO:    Aliquoting 127.1 μL of 'media' and 72.9 μL from source well E3 to well E3 on plate 'stock_plate'.
2023-12-05 20:46:51.700 INFO:    Mixing at source plate location 'E3', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:47:24.312 INFO:    Not aliquoting from source well F3 to well F3 on plate 'stock_plate'.
2023-12-05 20:47:24.328 INFO:    Aliquoting 164.3 μL of 'media' and 35.7 μL from source well G3 to well G3 on plate 'stock_plate'.
2023-12-05 20:47:38.811 INFO:    Mixing at source plate location 'G3', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:48:10.703 INFO:    Aliquoting 131.1 μL of 'media' and 68.9 μL from source well H3 to well H3 on plate 'stock_plate'.
2023-12-05 20:48:24.554 INFO:    Mixing at source plate location 'H3', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:48:57.203 INFO:    Setting tempdeck to 25.0 °C...
2023-12-05 20:50:18.219 INFO:    Tempdeck reached setpoint.
2023-12-05 20:50:26.732 INFO:    Mixing at source plate location 'A4', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 20:50:28.151 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 20:50:52.457 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 20:50:53.343 INFO:    Loading CCI from source column 4.
2023-12-05 20:52:01.332 INFO:    Running CCI counting scan for source plate column 4...
2023-12-05 20:53:24.819 INFO:    CCI counting scan complete.
2023-12-05 20:53:24.823 INFO:    Well A4: density = 331.8 cells/μL, valid_area = 95%
2023-12-05 20:53:24.826 INFO:    Well B4: density = 297.8 cells/μL, valid_area = 97%
2023-12-05 20:53:24.830 INFO:    Well C4: density = 438.6 cells/μL, valid_area = 97%
2023-12-05 20:53:24.833 INFO:    Well D4: density = 295.7 cells/μL, valid_area = 98%
2023-12-05 20:53:24.837 INFO:    Well E4: density = 325.9 cells/μL, valid_area = 97%
2023-12-05 20:53:24.840 INFO:    Well F4: density = 277.2 cells/μL, valid_area = 98%
2023-12-05 20:53:24.843 INFO:    Well G4: density = 409.7 cells/μL, valid_area = 98%
2023-12-05 20:53:24.847 INFO:    Well H4: density = 449.0 cells/μL, valid_area = 98%
2023-12-05 20:53:24.901 INFO:    Plate 'stock_plate' well A4: target = 12.5k cells, aliquot = 37.7 μL
2023-12-05 20:53:24.907 INFO:    Plate 'stock_plate' well B4: target = 12.5k cells, aliquot = 42.0 μL
2023-12-05 20:53:24.912 INFO:    Plate 'stock_plate' well C4: target = 12.5k cells, aliquot = 28.5 μL
2023-12-05 20:53:24.916 INFO:    Plate 'stock_plate' well D4: target = 12.5k cells, aliquot = 42.3 μL
2023-12-05 20:53:24.923 INFO:    Plate 'stock_plate' well E4: target = 12.5k cells, aliquot = 38.4 μL
2023-12-05 20:53:24.926 INFO:    Plate 'stock_plate' well F4: target = 12.5k cells, aliquot = 45.1 μL
2023-12-05 20:53:24.935 INFO:    Plate 'stock_plate' well G4: target = 12.5k cells, aliquot = 30.5 μL
2023-12-05 20:53:24.941 INFO:    Plate 'stock_plate' well H4: target = 12.5k cells, aliquot = 27.8 μL
2023-12-05 20:53:39.180 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 20:54:14.478 INFO:    Aliquoting 162.3 μL of 'media' and 37.7 μL from source well A4 to well A4 on plate 'stock_plate'.
2023-12-05 20:54:31.224 INFO:    Mixing at source plate location 'A4', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:55:02.947 INFO:    Aliquoting 158.0 μL of 'media' and 42.0 μL from source well B4 to well B4 on plate 'stock_plate'.
2023-12-05 20:55:17.230 INFO:    Mixing at source plate location 'B4', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:55:49.116 INFO:    Aliquoting 171.5 μL of 'media' and 28.5 μL from source well C4 to well C4 on plate 'stock_plate'.
2023-12-05 20:56:03.710 INFO:    Mixing at source plate location 'C4', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:56:35.284 INFO:    Aliquoting 157.7 μL of 'media' and 42.3 μL from source well D4 to well D4 on plate 'stock_plate'.
2023-12-05 20:56:49.629 INFO:    Mixing at source plate location 'D4', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:57:21.588 INFO:    Aliquoting 161.6 μL of 'media' and 38.4 μL from source well E4 to well E4 on plate 'stock_plate'.
2023-12-05 20:57:36.008 INFO:    Mixing at source plate location 'E4', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:58:07.792 INFO:    Aliquoting 154.9 μL of 'media' and 45.1 μL from source well F4 to well F4 on plate 'stock_plate'.
2023-12-05 20:58:22.117 INFO:    Mixing at source plate location 'F4', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:58:54.105 INFO:    Aliquoting 169.5 μL of 'media' and 30.5 μL from source well G4 to well G4 on plate 'stock_plate'.
2023-12-05 20:59:08.761 INFO:    Mixing at source plate location 'G4', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 20:59:40.536 INFO:    Aliquoting 172.2 μL of 'media' and 27.8 μL from source well H4 to well H4 on plate 'stock_plate'.
2023-12-05 20:59:55.340 INFO:    Mixing at source plate location 'H4', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:00:35.330 INFO:    Mixing at source plate location 'A5', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 21:00:36.732 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 21:01:00.965 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 21:01:01.793 INFO:    Loading CCI from source column 5.
2023-12-05 21:02:09.789 INFO:    Running CCI counting scan for source plate column 5...
2023-12-05 21:03:31.246 INFO:    CCI counting scan complete.
2023-12-05 21:03:31.251 INFO:    Well A5: density = 151.2 cells/μL, valid_area = 95%
2023-12-05 21:03:31.257 INFO:    Well B5: density = 264.8 cells/μL, valid_area = 97%
2023-12-05 21:03:31.261 INFO:    Well C5: density = 321.7 cells/μL, valid_area = 97%
2023-12-05 21:03:31.266 INFO:    Well D5: density = 264.4 cells/μL, valid_area = 98%
2023-12-05 21:03:31.275 INFO:    Well E5: density = 102.1 cells/μL, valid_area = 97%
2023-12-05 21:03:31.279 INFO:    Well F5: density = 292.8 cells/μL, valid_area = 98%
2023-12-05 21:03:31.282 INFO:    Well G5: density = 401.9 cells/μL, valid_area = 98%
2023-12-05 21:03:31.285 INFO:    Well H5: density = 317.2 cells/μL, valid_area = 98%
2023-12-05 21:03:31.337 INFO:    Plate 'stock_plate' well A5: target is zero, will skip transfer
2023-12-05 21:03:31.340 INFO:    Plate 'stock_plate' well B5: target is zero, will skip transfer
2023-12-05 21:03:31.344 INFO:    Plate 'stock_plate' well C5: target is zero, will skip transfer
2023-12-05 21:03:31.347 INFO:    Plate 'stock_plate' well D5: target is zero, will skip transfer
2023-12-05 21:03:31.350 INFO:    Plate 'stock_plate' well E5: target is zero, will skip transfer
2023-12-05 21:03:31.354 INFO:    Plate 'stock_plate' well F5: target is zero, will skip transfer
2023-12-05 21:03:31.357 INFO:    Plate 'stock_plate' well G5: target is zero, will skip transfer
2023-12-05 21:03:31.360 INFO:    Plate 'stock_plate' well H5: target is zero, will skip transfer
